,0
0,New Hampshire
1,Maryland
2,Oklahoma
3,Missouri
4,Wisconsin
5,Oregon
6,Alabama
7,Mississippi
8,Wyoming
9,West Virginia
10,California
11,Iowa
12,South Carolina
13,Vermont
14,Kentucky
15,Minnesota
16,Texas
17,South Dakota
18,Utah
19,Delaware
20,Maine
21,Michigan
22,Montana
23,New Mexico
24,Virginia
25,Tennessee
26,Connecticut
27,New Jersey
28,Rhode Island
29,Arkansas
30,Idaho
31,Hawaii
32,Illinois
33,Pennsylvania
34,Washington
35,Alaska
36,North Dakota
37,Florida
38,Georgia
39,Kansas
40,North Carolina
41,Arizona
42,Louisiana
43,Colorado
44,New York
45,Massachusetts
46,Nebraska
47,Indiana
